cod,uf,precom,subitem,cod_subitem,grupo,partic,rm,peso
1103005,33,2.938823461532593,Mandioca (aipim),01103005,alimentação,0,3,0
9101001,35,101.8962478637695,Correio,09101001,Comunicação,.0900000035762787,3,.00097071676
5102007,26,30.75771257002801,Óleo lubrificante,05102007,transporte,.1899999976158142,2,.0020390642
1102010,31,30.14977836608887,Flocos de milho,01102010,alimentação,0,3,0
1107018,29,14.05826663970947,Carne de porco,01107018,alimentação,.2899999916553497,2,.0030770863
1106018,50,4.464671794871795,Mamão,01106018,alimentação,.0700000002980232,5,.0007471249
1114085,35,30.24531628881035,Outras bebidas alcoólicas,01114085,alimentação,0,3,0
3202028,23,2026.378289590618,Computador pessoal,03202028,utencilios do lar,.3700000047683716,2,.0040597222
1101079,33,6.498631000518799,Milho em grão,01101079,alimentação,0,3,0
6101011,43,17.12533187866211,Hormonal,06101011,saude e higiene,.2800000011920929,4,.0030407514
7101034,41,22.02133750915527,Cartório,07101034,servicos pessoais,.0799999982118607,4,.0008558667
1106017,29,5.801826375711575,Maçã,01106017,alimentação,.119999997317791,2,.001273277
1105012,26,1.743157863616943,Cheiro-verde,01105012,alimentação,.0199999995529652,2,.00021463833
1102012,26,2.926281929016113,Farinha de trigo,01102012,alimentação,0,2,0
1107031,32,20.72336769104004,Carne de carneiro,01107031,alimentação,0,3,0
1116022,35,8.594396591186523,Colorau,01116022,alimentação,0,3,0
1106006,43,6.869333267211914,Banana - maçã,01106006,alimentação,0,4,0
5102053,32,9510.252272727272,Motocicleta,05102053,transporte,.5299999713897705,3,.0057297293
5102051,26,105.5790939331055,Aluguel de veículo,05102051,transporte,0,2,0
1116023,33,5.963710784912109,Caldo de tucupi,01116023,alimentação,0,3,0
1107085,35,36.55263137817383,Filé-mignon,01107085,alimentação,0,3,0
3201050,33,90.34808349609375,Chuveiro elétrico,03201050,utencilios do lar,0,3,0
1106020,23,5.08725,Maracujá,01106020,alimentação,.0799999982118607,2,.0008777777
1107084,41,27.88099711538462,Contrafilé,01107084,alimentação,.449999988079071,4,.0048142504
2103012,35,113.4611434936523,Vidro,02103012,habitacao,0,3,0
1105001,33,1.69011111111111,Alface,01105001,alimentação,.0500000007450581,3,.00056554691
1109012,41,51.378662109375,Salame,01109012,alimentação,0,4,0
1201048,26,8.13150275328293,Cerveja,01201048,alimentação,.6200000047683716,2,.0066537885
2202003,53,104.745,Energia elétrica residencial,02202003,habitacao,2.670000076293945,5,.029609095
6202003,29,18.08635009812322,Exame de laboratório,06202003,saude e higiene,.1899999976158142,2,.0020160221
6101006,52,60.94022621499179,Dermatológico,06101006,saude e higiene,0,5,0
